tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
254,2017-05-01 00:00:13,2017-05-01 00:04:27,511,E 14 St & Avenue B,40.72938685,-73.97772429,394,E 9 St & Avenue C,40.72521311,-73.97768752,27695,Subscriber,1996,2
1120,2017-05-01 00:00:19,2017-05-01 00:19:00,242,Carlton Ave & Flushing Ave,40.697787,-73.973736,3083,Bushwick Ave & Powers St,40.71247661,-73.94100005,18700,Subscriber,1985,2
212,2017-05-01 00:00:24,2017-05-01 00:03:56,168,W 18 St & 6 Ave,40.73971301,-73.99456405,116,W 17 St & 8 Ave,40.74177603,-74.00149746,24981,Subscriber,1993,1
686,2017-05-01 00:00:29,2017-05-01 00:11:55,494,W 26 St & 8 Ave,40.74734825,-73.99723551,527,E 33 St & 2 Ave,40.744023,-73.976056,25407,Subscriber,1964,1
577,2017-05-01 00:00:35,2017-05-01 00:10:12,334,W 20 St & 7 Ave,40.74238787,-73.99726235,504,1 Ave & E 16 St,40.73221853,-73.98165557,28713,Subscriber,1956,2
523,2017-05-01 00:00:41,2017-05-01 00:09:24,335,Washington Pl & Broadway,40.72903917,-73.99404649,487,E 20 St & FDR Drive,40.73314259,-73.97573881,15385,Subscriber,1994,1
419,2017-05-01 00:00:45,2017-05-01 00:07:44,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,18295,Customer,NULL,0
1296,2017-05-01 00:00:48,2017-05-01 00:22:25,291,Madison St & Montgomery St,40.713126,-73.984844,291,Madison St & Montgomery St,40.713126,-73.984844,17351,Subscriber,1994,1
589,2017-05-01 00:01:00,2017-05-01 00:10:50,415,Pearl St & Hanover Square,40.7047177,-74.00926027,340,Madison St & Clinton St,40.71269042,-73.98776323,15289,Subscriber,1952,1
735,2017-05-01 00:01:03,2017-05-01 00:13:18,330,Reade St & Broadway,40.71450451,-74.00562789,312,Allen St & Stanton St,40.722055,-73.989111,27270,Subscriber,1993,1
950,2017-05-01 00:01:00,2017-05-01 00:16:50,439,E 4 St & 2 Ave,40.7262807,-73.98978041,293,Lafayette St & E 8 St,40.7302066053,-73.9910262823,18740,Customer,NULL,0
2205,2017-05-01 00:01:03,2017-05-01 00:37:49,306,Cliff St & Fulton St,40.70823502,-74.00530063,306,Cliff St & Fulton St,40.70823502,-74.00530063,17746,Subscriber,1986,1
391,2017-05-01 00:01:10,2017-05-01 00:07:41,3429,Hanson Pl & Ashland Pl,40.6850680731,-73.977907598,419,Carlton Ave & Park Ave,40.69580705,-73.97355569,26118,Subscriber,1984,1
320,2017-05-01 00:01:11,2017-05-01 00:06:32,387,Centre St & Chambers St,40.71273266,-74.0046073,2008,Little West St & 1 Pl,40.70569254,-74.01677685,26691,Subscriber,1992,1
273,2017-05-01 00:01:11,2017-05-01 00:05:45,3090,N 8 St & Driggs Ave,40.71774592,-73.95600096,3111,Norman Ave & Leonard St - 2,40.7258483,-73.95064893,28209,Subscriber,1988,1
461,2017-05-01 00:01:40,2017-05-01 00:09:21,357,E 11 St & Broadway,40.73261787,-73.99158043,301,E 2 St & Avenue B,40.72217444,-73.98368779,27536,Subscriber,1994,1
345,2017-05-01 00:01:46,2017-05-01 00:07:32,350,Clinton St & Grand St,40.71559509,-73.9870295,511,E 14 St & Avenue B,40.72938685,-73.97772429,29347,Subscriber,1974,1
616,2017-05-01 00:02:01,2017-05-01 00:12:17,3074,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,27667,Subscriber,1980,2
552,2017-05-01 00:02:04,2017-05-01 00:11:16,446,W 24 St & 7 Ave,40.74487634,-73.99529885,368,Carmine St & 6 Ave,40.73038599,-74.00214988,28913,Subscriber,1985,1
628,2017-05-01 00:02:14,2017-05-01 00:12:42,434,9 Ave & W 18 St,40.74317449,-74.00366443,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,29346,Subscriber,1996,1
156,2017-05-01 00:02:18,2017-05-01 00:04:55,3428,8 Ave & W 16 St,40.740983,-74.001702,509,9 Ave & W 22 St,40.7454973,-74.00197139,27170,Subscriber,1981,1
305,2017-05-01 00:02:27,2017-05-01 00:07:33,504,1 Ave & E 16 St,40.73221853,-73.98165557,403,E 2 St & 2 Ave,40.72502876,-73.99069656,21322,Subscriber,1997,1
161,2017-05-01 00:02:54,2017-05-01 00:05:35,399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,384,Fulton St & Washington Ave,40.683048,-73.964915,20545,Subscriber,1987,1
227,2017-05-01 00:02:55,2017-05-01 00:06:42,508,W 46 St & 11 Ave,40.76341379,-73.99667444,450,W 49 St & 8 Ave,40.76227205,-73.98788205,26622,Subscriber,1981,1
1636,2017-05-01 00:03:12,2017-05-01 00:30:29,477,W 41 St & 8 Ave,40.75640548,-73.9900262,410,Suffolk St & Stanton St,40.72066442,-73.98517977,24814,Subscriber,1962,2
1667,2017-05-01 00:03:16,2017-05-01 00:31:03,173,Broadway & W 49 St,40.760683271,-73.9845272899,358,Christopher St & Greenwich St,40.73291553,-74.00711384,26887,Customer,NULL,0
706,2017-05-01 00:03:18,2017-05-01 00:15:04,3117,Franklin St & Dupont St,40.73564,-73.95866,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,17087,Subscriber,1976,2
32798,2017-05-01 00:03:46,2017-05-01 09:10:24,509,9 Ave & W 22 St,40.7454973,-74.00197139,484,W 44 St & 5 Ave,40.75500254,-73.98014437,17513,Customer,NULL,0
768,2017-05-01 00:04:31,2017-05-01 00:17:20,309,Murray St & West St,40.7149787,-74.013012,312,Allen St & Stanton St,40.722055,-73.989111,25703,Subscriber,1994,1
110,2017-05-01 00:04:42,2017-05-01 00:06:32,3258,W 27 St & 10 Ave,40.7501815633,-74.0021842718,494,W 26 St & 8 Ave,40.74734825,-73.99723551,28266,Subscriber,1990,1
303,2017-05-01 00:05:19,2017-05-01 00:10:23,368,Carmine St & 6 Ave,40.73038599,-74.00214988,377,6 Ave & Canal St,40.72243797,-74.00566443,18004,Subscriber,1993,2
715,2017-05-01 00:05:38,2017-05-01 00:17:34,3129,Queens Plaza North & Crescent St,40.75110165,-73.94073717,3156,E 72 St & York Ave,40.76663814,-73.95348296,24897,Subscriber,1964,1
148,2017-05-01 00:05:47,2017-05-01 00:08:15,265,Stanton St & Chrystie St,40.72229346,-73.99147535,251,Mott St & Prince St,40.72317958,-73.99480012,27166,Subscriber,1950,2
1469,2017-05-01 00:06:04,2017-05-01 00:30:34,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,16441,Subscriber,1980,1
137,2017-05-01 00:06:10,2017-05-01 00:08:28,528,2 Ave & E 31 St,40.74290902,-73.97706058,2012,E 27 St & 1 Ave,40.739445,-73.976806,15559,Subscriber,1986,1
977,2017-05-01 00:06:24,2017-05-01 00:22:42,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,27095,Subscriber,1980,2
299,2017-05-01 00:06:31,2017-05-01 00:11:30,459,W 20 St & 11 Ave,40.746745,-74.007756,334,W 20 St & 7 Ave,40.74238787,-73.99726235,25472,Subscriber,1968,1
279,2017-05-01 00:07:04,2017-05-01 00:11:44,536,1 Ave & E 30 St,40.74144387,-73.97536082,2003,1 Ave & E 18 St,40.733812192,-73.9805442095,26446,Subscriber,1987,1
727,2017-05-01 00:07:05,2017-05-01 00:19:13,453,W 22 St & 8 Ave,40.74475148,-73.99915362,309,Murray St & West St,40.7149787,-74.013012,19540,Subscriber,1966,1
345,2017-05-01 00:07:24,2017-05-01 00:13:09,3047,Halsey St & Tompkins Ave,40.6823687,-73.944118,3052,Lewis Ave & Madison St,40.686312,-73.935775,16677,Subscriber,1998,2
2023,2017-05-01 00:07:30,2017-05-01 00:41:13,526,E 33 St & 5 Ave,40.74765947,-73.98490707,500,Broadway & W 51 St,40.76228826,-73.98336183,25966,Customer,NULL,0
276,2017-05-01 00:08:32,2017-05-01 00:13:09,3244,University Pl & E 8 St,40.7314372409,-73.9949034154,482,W 15 St & 7 Ave,40.73935542,-73.99931783,26794,Subscriber,1986,1
155,2017-05-01 00:08:46,2017-05-01 00:11:21,428,E 3 St & 1 Ave,40.72467721,-73.98783413,393,E 5 St & Avenue C,40.72299208,-73.97995466,28187,Subscriber,1989,1
932,2017-05-01 00:09:04,2017-05-01 00:24:36,3070,McKibbin St & Manhattan Ave,40.70510918,-73.94407279,307,Canal St & Rutgers St,40.71427487,-73.98990025,25953,Subscriber,1966,1
677,2017-05-01 00:09:06,2017-05-01 00:20:24,459,W 20 St & 11 Ave,40.746745,-74.007756,477,W 41 St & 8 Ave,40.75640548,-73.9900262,18918,Subscriber,1979,1
240,2017-05-01 00:10:11,2017-05-01 00:14:12,441,E 52 St & 2 Ave,40.756014,-73.967416,518,E 39 St & 2 Ave,40.74780373,-73.9734419,28842,Subscriber,1989,1
311,2017-05-01 00:10:12,2017-05-01 00:15:23,494,W 26 St & 8 Ave,40.74734825,-73.99723551,458,11 Ave & W 27 St,40.751396,-74.005226,28266,Subscriber,1981,1
425,2017-05-01 00:10:24,2017-05-01 00:17:30,3428,8 Ave & W 16 St,40.740983,-74.001702,388,W 26 St & 10 Ave,40.749717753,-74.002950346,26010,Subscriber,1985,2
819,2017-05-01 00:10:31,2017-05-01 00:24:10,435,W 21 St & 6 Ave,40.74173969,-73.99415556,301,E 2 St & Avenue B,40.72217444,-73.98368779,25431,Subscriber,1987,1
1359,2017-05-01 00:10:31,2017-05-01 00:33:11,217,Old Fulton St,40.70277159,-73.99383605,387,Centre St & Chambers St,40.71273266,-74.0046073,17698,Customer,NULL,0
1674,2017-05-01 00:10:30,2017-05-01 00:38:25,3341,Central Park West & W 102 St,40.795346,-73.96186,3445,Riverside Dr & W 89 St,40.791811715,-73.9786022902,20085,Subscriber,1963,1
333,2017-05-01 00:10:42,2017-05-01 00:16:16,428,E 3 St & 1 Ave,40.72467721,-73.98783413,150,E 2 St & Avenue C,40.7208736,-73.98085795,14736,Subscriber,1977,1
1294,2017-05-01 00:10:45,2017-05-01 00:32:19,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,488,W 39 St & 9 Ave,40.75645824,-73.99372222,28080,Customer,NULL,0
194,2017-05-01 00:11:03,2017-05-01 00:14:17,402,Broadway & E 22 St,40.7403432,-73.98955109,486,Broadway & W 29 St,40.7462009,-73.98855723,19665,Customer,NULL,0
193,2017-05-01 00:11:19,2017-05-01 00:14:32,528,2 Ave & E 31 St,40.74290902,-73.97706058,174,E 25 St & 1 Ave,40.7381765,-73.97738662,28349,Subscriber,1989,1
1030,2017-05-01 00:11:26,2017-05-01 00:28:36,459,W 20 St & 11 Ave,40.746745,-74.007756,445,E 10 St & Avenue A,40.72740794,-73.98142006,28551,Subscriber,1994,1
159,2017-05-01 00:11:33,2017-05-01 00:14:12,401,Allen St & Rivington St,40.72019576,-73.98997825,251,Mott St & Prince St,40.72317958,-73.99480012,16476,Subscriber,1993,1
685,2017-05-01 00:11:32,2017-05-01 00:22:58,3427,Lafayette St & Jersey St,40.7243052725,-73.9960098267,334,W 20 St & 7 Ave,40.74238787,-73.99726235,15011,Subscriber,1950,1
622,2017-05-01 00:12:04,2017-05-01 00:22:27,3129,Queens Plaza North & Crescent St,40.75110165,-73.94073717,3142,1 Ave & E 62 St,40.7612274,-73.96094022,25082,Subscriber,1983,1
176,2017-05-01 00:12:07,2017-05-01 00:15:03,3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,3100,Nassau Ave & Newell St,40.7248125644,-73.9475262165,16243,Subscriber,1984,1
249,2017-05-01 00:12:46,2017-05-01 00:16:56,428,E 3 St & 1 Ave,40.72467721,-73.98783413,317,E 6 St & Avenue B,40.72453734,-73.98185424,27670,Subscriber,1988,1
238,2017-05-01 00:13:01,2017-05-01 00:17:00,477,W 41 St & 8 Ave,40.75640548,-73.9900262,524,W 43 St & 6 Ave,40.75527307,-73.98316936,25336,Subscriber,1964,1
450,2017-05-01 00:13:04,2017-05-01 00:20:35,497,E 17 St & Broadway,40.73704984,-73.99009296,301,E 2 St & Avenue B,40.72217444,-73.98368779,21529,Subscriber,1981,2
1329,2017-05-01 00:13:17,2017-05-01 00:35:27,382,University Pl & E 14 St,40.73492695,-73.99200509,520,W 52 St & 5 Ave,40.75992262,-73.97648516,26847,Customer,NULL,0
790,2017-05-01 00:13:19,2017-05-01 00:26:29,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,488,W 39 St & 9 Ave,40.75645824,-73.99372222,14786,Subscriber,1988,2
768,2017-05-01 00:13:25,2017-05-01 00:26:14,3427,Lafayette St & Jersey St,40.7243052725,-73.9960098267,507,E 25 St & 2 Ave,40.73912601,-73.97973776,28977,Subscriber,1993,1
