"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
254,"2017-05-01 00:00:13","2017-05-01 00:04:27",511,"E 14 St & Avenue B",40.72938685,-73.97772429,394,"E 9 St & Avenue C",40.72521311,-73.97768752,27695,"Subscriber",1996,2
248,"2017-05-01 00:00:19","2017-05-01 00:04:28",511,"E 14 St & Avenue B",40.72938685,-73.97772429,394,"E 9 St & Avenue C",40.72521311,-73.97768752,15869,"Subscriber",1996,1
1120,"2017-05-01 00:00:19","2017-05-01 00:19:00",242,"Carlton Ave & Flushing Ave",40.697787,-73.973736,3083,"Bushwick Ave & Powers St",40.71247661,-73.94100005,18700,"Subscriber",1985,2
212,"2017-05-01 00:00:24","2017-05-01 00:03:56",168,"W 18 St & 6 Ave",40.73971301,-73.99456405,116,"W 17 St & 8 Ave",40.74177603,-74.00149746,24981,"Subscriber",1993,1
686,"2017-05-01 00:00:29","2017-05-01 00:11:55",494,"W 26 St & 8 Ave",40.74734825,-73.99723551,527,"E 33 St & 2 Ave",40.744023,-73.976056,25407,"Subscriber",1964,1
577,"2017-05-01 00:00:35","2017-05-01 00:10:12",334,"W 20 St & 7 Ave",40.74238787,-73.99726235,504,"1 Ave & E 16 St",40.73221853,-73.98165557,28713,"Subscriber",1956,2
523,"2017-05-01 00:00:41","2017-05-01 00:09:24",335,"Washington Pl & Broadway",40.72903917,-73.99404649,487,"E 20 St & FDR Drive",40.73314259,-73.97573881,15385,"Subscriber",1994,1
419,"2017-05-01 00:00:45","2017-05-01 00:07:44",336,"Sullivan St & Washington Sq",40.73047747,-73.99906065,369,"Washington Pl & 6 Ave",40.73224119,-74.00026394,18295,"Customer",NULL,0
518,"2017-05-01 00:00:47","2017-05-01 00:09:25",335,"Washington Pl & Broadway",40.72903917,-73.99404649,487,"E 20 St & FDR Drive",40.73314259,-73.97573881,15608,"Subscriber",1995,1
1296,"2017-05-01 00:00:48","2017-05-01 00:22:25",291,"Madison St & Montgomery St",40.713126,-73.984844,291,"Madison St & Montgomery St",40.713126,-73.984844,17351,"Subscriber",1994,1
418,"2017-05-01 00:00:59","2017-05-01 00:07:58",336,"Sullivan St & Washington Sq",40.73047747,-73.99906065,369,"Washington Pl & 6 Ave",40.73224119,-74.00026394,28237,"Customer",NULL,0
589,"2017-05-01 00:01:00","2017-05-01 00:10:50",415,"Pearl St & Hanover Square",40.7047177,-74.00926027,340,"Madison St & Clinton St",40.71269042,-73.98776323,15289,"Subscriber",1952,1
735,"2017-05-01 00:01:03","2017-05-01 00:13:18",330,"Reade St & Broadway",40.71450451,-74.00562789,312,"Allen St & Stanton St",40.722055,-73.989111,27270,"Subscriber",1993,1
950,"2017-05-01 00:01:00","2017-05-01 00:16:50",439,"E 4 St & 2 Ave",40.7262807,-73.98978041,293,"Lafayette St & E 8 St",40.73020660529954,-73.99102628231049,18740,"Customer",NULL,0
2205,"2017-05-01 00:01:03","2017-05-01 00:37:49",306,"Cliff St & Fulton St",40.70823502,-74.00530063,306,"Cliff St & Fulton St",40.70823502,-74.00530063,17746,"Subscriber",1986,1
391,"2017-05-01 00:01:10","2017-05-01 00:07:41",3429,"Hanson Pl & Ashland Pl",40.68506807308177,-73.97790759801863,419,"Carlton Ave & Park Ave",40.69580705,-73.97355569,26118,"Subscriber",1984,1
320,"2017-05-01 00:01:11","2017-05-01 00:06:32",387,"Centre St & Chambers St",40.71273266,-74.0046073,2008,"Little West St & 1 Pl",40.70569254,-74.01677685,26691,"Subscriber",1992,1
273,"2017-05-01 00:01:11","2017-05-01 00:05:45",3090,"N 8 St & Driggs Ave",40.71774592,-73.95600096,3111,"Norman Ave & Leonard St - 2",40.7258483,-73.95064893,28209,"Subscriber",1988,1
461,"2017-05-01 00:01:40","2017-05-01 00:09:21",357,"E 11 St & Broadway",40.73261787,-73.99158043,301,"E 2 St & Avenue B",40.72217444,-73.98368779,27536,"Subscriber",1994,1
345,"2017-05-01 00:01:46","2017-05-01 00:07:32",350,"Clinton St & Grand St",40.71559509,-73.9870295,511,"E 14 St & Avenue B",40.72938685,-73.97772429,29347,"Subscriber",1974,1
616,"2017-05-01 00:02:01","2017-05-01 00:12:17",3074,"Montrose Ave & Bushwick Ave",40.70767788,-73.94016171,3107,"Bedford Ave & Nassau Ave",40.72311651,-73.95212324,27667,"Subscriber",1980,2
552,"2017-05-01 00:02:04","2017-05-01 00:11:16",446,"W 24 St & 7 Ave",40.74487634,-73.99529885,368,"Carmine St & 6 Ave",40.73038599,-74.00214988,28913,"Subscriber",1985,1
628,"2017-05-01 00:02:14","2017-05-01 00:12:42",434,"9 Ave & W 18 St",40.74317449,-74.00366443,236,"St Marks Pl & 2 Ave",40.7284186,-73.98713956,29346,"Subscriber",1996,1
156,"2017-05-01 00:02:18","2017-05-01 00:04:55",3428,"8 Ave & W 16 St",40.740983,-74.001702,509,"9 Ave & W 22 St",40.7454973,-74.00197139,27170,"Subscriber",1981,1
305,"2017-05-01 00:02:27","2017-05-01 00:07:33",504,"1 Ave & E 16 St",40.73221853,-73.98165557,403,"E 2 St & 2 Ave",40.72502876,-73.99069656,21322,"Subscriber",1997,1
372,"2017-05-01 00:02:47","2017-05-01 00:08:59",387,"Centre St & Chambers St",40.71273266,-74.0046073,2008,"Little West St & 1 Pl",40.70569254,-74.01677685,25564,"Subscriber",1982,1
161,"2017-05-01 00:02:54","2017-05-01 00:05:35",399,"Lafayette Ave & St James Pl",40.68851534,-73.9647628,384,"Fulton St & Washington Ave",40.683048,-73.964915,20545,"Subscriber",1987,1
227,"2017-05-01 00:02:55","2017-05-01 00:06:42",508,"W 46 St & 11 Ave",40.76341379,-73.99667444,450,"W 49 St & 8 Ave",40.76227205,-73.98788205,26622,"Subscriber",1981,1
1636,"2017-05-01 00:03:12","2017-05-01 00:30:29",477,"W 41 St & 8 Ave",40.75640548,-73.9900262,410,"Suffolk St & Stanton St",40.72066442,-73.98517977,24814,"Subscriber",1962,2
1667,"2017-05-01 00:03:16","2017-05-01 00:31:03",173,"Broadway & W 49 St",40.76068327096592,-73.9845272898674,358,"Christopher St & Greenwich St",40.73291553,-74.00711384,26887,"Customer",NULL,0
706,"2017-05-01 00:03:18","2017-05-01 00:15:04",3117,"Franklin St & Dupont St",40.73564,-73.95866,539,"Metropolitan Ave & Bedford Ave",40.71534825,-73.96024116,17087,"Subscriber",1976,2
1647,"2017-05-01 00:03:35","2017-05-01 00:31:03",173,"Broadway & W 49 St",40.76068327096592,-73.9845272898674,358,"Christopher St & Greenwich St",40.73291553,-74.00711384,18566,"Customer",NULL,0
32798,"2017-05-01 00:03:46","2017-05-01 09:10:24",509,"9 Ave & W 22 St",40.7454973,-74.00197139,484,"W 44 St & 5 Ave",40.75500254,-73.98014437,17513,"Customer",NULL,0
1562,"2017-05-01 00:03:46","2017-05-01 00:29:49",509,"9 Ave & W 22 St",40.7454973,-74.00197139,484,"W 44 St & 5 Ave",40.75500254,-73.98014437,29048,"Customer",NULL,0
768,"2017-05-01 00:04:31","2017-05-01 00:17:20",309,"Murray St & West St",40.7149787,-74.013012,312,"Allen St & Stanton St",40.722055,-73.989111,25703,"Subscriber",1994,1
110,"2017-05-01 00:04:42","2017-05-01 00:06:32",3258,"W 27 St & 10 Ave",40.75018156325683,-74.00218427181244,494,"W 26 St & 8 Ave",40.74734825,-73.99723551,28266,"Subscriber",1990,1
303,"2017-05-01 00:05:19","2017-05-01 00:10:23",368,"Carmine St & 6 Ave",40.73038599,-74.00214988,377,"6 Ave & Canal St",40.72243797,-74.00566443,18004,"Subscriber",1993,2
715,"2017-05-01 00:05:38","2017-05-01 00:17:34",3129,"Queens Plaza North & Crescent St",40.75110165,-73.94073717,3156,"E 72 St & York Ave",40.76663814,-73.95348296,24897,"Subscriber",1964,1
148,"2017-05-01 00:05:47","2017-05-01 00:08:15",265,"Stanton St & Chrystie St",40.72229346,-73.99147535,251,"Mott St & Prince St",40.72317958,-73.99480012,27166,"Subscriber",1950,2
1469,"2017-05-01 00:06:04","2017-05-01 00:30:34",3093,"N 6 St & Bedford Ave",40.71745169,-73.95850939,420,"Clermont Ave & Lafayette Ave",40.68764484,-73.96968902,16441,"Subscriber",1980,1
137,"2017-05-01 00:06:10","2017-05-01 00:08:28",528,"2 Ave & E 31 St",40.74290902,-73.97706058,2012,"E 27 St & 1 Ave",40.739445,-73.976806,15559,"Subscriber",1986,1
