"id","name","longitude","latitude","arrival_trips","departure_trips","difference"
"402","Broadway & E 22 St","-73.9895","40.7403","13322","12214","1108"
"304","Broadway & Battery Pl","-74.0136","40.7046","5866","4892","974"
"432","E 7 St & Avenue A","-73.9838","40.7262","7191","6358","833"
"324","DeKalb Ave & Hudson Ave","-73.981","40.6899","2429","1709","720"
"497","E 17 St & Broadway","-73.9901","40.737","11193","10537","656"
"459","W 20 St & 11 Ave","-74.0078","40.7467","9121","8551","570"
"3443","W 52 St & 6 Ave","-73.9798","40.7613","6858","6297","561"
"217","Old Fulton St","-73.9938","40.7028","4093","3648","445"
"514","12 Ave & W 40 St","-74.0028","40.7609","8571","8150","421"
"487","E 20 St & FDR Drive","-73.9757","40.7331","4312","3927","385"
"382","University Pl & E 14 St","-73.992","40.7349","7005","6671","334"
"348","W Broadway & Spring St","-74.0015","40.7249","5152","4855","297"
"377","6 Ave & Canal St","-74.0057","40.7224","4699","4415","284"
"3232","Bond St & Fulton St","-73.983","40.6896","1535","1252","283"
"426","West St & Chambers St","-74.0132","40.7175","10892","10617","275"
"243","Fulton St & Rockwell Pl","-73.9794","40.6882","1327","1073","254"
"393","E 5 St & Avenue C","-73.98","40.723","2170","1930","240"
"284","Greenwich Ave & 8 Ave","-74.0026","40.739","7344","7118","226"
"336","Sullivan St & Washington Sq","-73.9991","40.7305","4461","4236","225"
"3016","Kent Ave & N 7 St","-73.9616","40.7204","3513","3296","217"
"168","W 18 St & 6 Ave","-73.9946","40.7397","7046","6833","213"
"3224","W 13 St & Hudson St","-74.0051","40.74","6052","5868","184"
"359","E 47 St & Park Ave","-73.975","40.7551","7360","7179","181"
"394","E 9 St & Avenue C","-73.9777","40.7252","3249","3069","180"
"368","Carmine St & 6 Ave","-74.0022","40.7304","7880","7710","170"
"2002","Wythe Ave & Metropolitan Ave","-73.9632","40.7169","3164","2994","170"
"236","St Marks Pl & 2 Ave","-73.9871","40.7284","4741","4572","169"
"161","LaGuardia Pl & W 3 St","-73.9981","40.7292","5415","5250","165"
"435","W 21 St & 6 Ave","-73.9942","40.7417","10182","10021","161"
"520","W 52 St & 5 Ave","-73.9765","40.7599","4071","3911","160"
"83","Atlantic Ave & Fort Greene Pl","-73.9763","40.6838","1352","1200","152"
"3427","Lafayette St & Jersey St","-73.996","40.7243","6260","6111","149"
"251","Mott St & Prince St","-73.9948","40.7232","4832","4684","148"
"478","11 Ave & W 41 St","-73.9988","40.7603","4364","4218","146"
"3409","Bergen St & Smith St","-73.9906","40.6867","2916","2771","145"
"3457","E 58 St & Madison Ave","-73.9721","40.763","2523","2378","145"
"539","Metropolitan Ave & Bedford Ave","-73.9602","40.7153","3535","3393","142"
"494","W 26 St & 8 Ave","-73.9972","40.7473","5428","5287","141"
"471","Grand St & Havemeyer St","-73.957","40.7129","1364","1228","136"
"509","9 Ave & W 22 St","-74.002","40.7455","6356","6220","136"
"343","Clinton Ave & Flushing Ave","-73.9699","40.6979","1323","1189","134"
"274","Lafayette Ave & Fort Greene Pl","-73.9767","40.6869","1514","1381","133"
"3260","Mercer St & Bleecker St","-73.9966","40.7271","4608","4475","133"
"462","W 22 St & 10 Ave","-74.0045","40.7469","5578","5446","132"
"458","11 Ave & W 27 St","-74.0052","40.7514","5407","5276","131"
"363","West Thames St","-74.0171","40.7083","3995","3866","129"
