"id","name","longitude","latitude","weigth"
"519","Pershing Square North","-73.9777","40.7519","15526"
"402","Broadway & E 22 St","-73.9895","40.7403","12214"
"426","West St & Chambers St","-74.0132","40.7175","10617"
"497","E 17 St & Broadway","-73.9901","40.737","10537"
"435","W 21 St & 6 Ave","-73.9942","40.7417","10021"
"3255","8 Ave & W 31 St","-73.9947","40.7506","9387"
"490","8 Ave & W 33 St","-73.9939","40.7516","9353"
"281","Grand Army Plaza & Central Park S","-73.9737","40.7644","9287"
"459","W 20 St & 11 Ave","-74.0078","40.7467","8551"
"2006","Central Park S & 6 Ave","-73.9763","40.7659","8255"
"514","12 Ave & W 40 St","-74.0028","40.7609","8150"
"477","W 41 St & 8 Ave","-73.99","40.7564","7981"
"368","Carmine St & 6 Ave","-74.0022","40.7304","7710"
"359","E 47 St & Park Ave","-73.975","40.7551","7179"
"523","W 38 St & 8 Ave","-73.9914","40.7547","7151"
"284","Greenwich Ave & 8 Ave","-74.0026","40.739","7118"
"379","W 31 St & 7 Ave","-73.9916","40.7492","7096"
"151","Cleveland Pl & Spring St","-73.9972","40.7221","7088"
"3002","South End Ave & Liberty St","-74.0158","40.7115","7067"
"3263","Cooper Square & E 7 St","-73.9909","40.7292","7031"
"358","Christopher St & Greenwich St","-74.0071","40.7329","6841"
"168","W 18 St & 6 Ave","-73.9946","40.7397","6833"
"492","W 33 St & 7 Ave","-73.9909","40.7502","6815"
"285","Broadway & E 14 St","-73.9907","40.7345","6788"
"499","Broadway & W 60 St","-73.9819","40.7692","6767"
"387","Centre St & Chambers St","-74.0046","40.7127","6672"
"382","University Pl & E 14 St","-73.992","40.7349","6671"
"293","Lafayette St & E 8 St","-73.991","40.7302","6595"
"505","6 Ave & W 33 St","-73.9885","40.749","6535"
"229","Great Jones St","-73.9938","40.7274","6498"
"128","MacDougal St & Prince St","-74.003","40.7271","6432"
"432","E 7 St & Avenue A","-73.9838","40.7262","6358"
"524","W 43 St & 6 Ave","-73.9832","40.7553","6330"
"3443","W 52 St & 6 Ave","-73.9798","40.7613","6297"
"212","W 16 St & The High Line","-74.0068","40.7434","6258"
"509","9 Ave & W 22 St","-74.002","40.7455","6220"
"537","Lexington Ave & E 24 St","-73.9841","40.7403","6218"
"457","Broadway & W 58 St","-73.9817","40.767","6186"
"3427","Lafayette St & Jersey St","-73.996","40.7243","6111"
"446","W 24 St & 7 Ave","-73.9953","40.7449","6107"
"442","W 27 St & 7 Ave","-73.9939","40.7466","6090"
"466","W 25 St & 6 Ave","-73.9914","40.744","6083"
"327","Vesey Pl & River Terrace","-74.0166","40.7153","6037"
"3224","W 13 St & Hudson St","-74.0051","40.74","5868"
"465","Broadway & W 41 St","-73.9866","40.7551","5848"
"504","1 Ave & E 16 St","-73.9817","40.7322","5845"
"127","Barrow St & Hudson St","-74.0067","40.7317","5823"
"486","Broadway & W 29 St","-73.9886","40.7462","5815"
"173","Broadway & W 49 St","-73.9845","40.7607","5712"
"3435","Grand St & Elizabeth St","-73.996","40.7188","5699"
"511","E 14 St & Avenue B","-73.9777","40.7294","5692"
"297","E 15 St & 3 Ave","-73.9869","40.7342","5632"
"3428","8 Ave & W 16 St","-74.0017","40.741","5597"
"518","E 39 St & 2 Ave","-73.9734","40.7478","5595"
"527","E 33 St & 2 Ave","-73.9761","40.744","5583"
"3141","1 Ave & E 68 St","-73.9582","40.765","5530"
"496","E 16 St & 5 Ave","-73.9924","40.7373","5460"
"462","W 22 St & 10 Ave","-74.0045","40.7469","5446"
"3165","Central Park West & W 72 St","-73.9762","40.7758","5435"
"445","E 10 St & Avenue A","-73.9814","40.7274","5430"
"479","9 Ave & W 45 St","-73.9913","40.7602","5414"
"491","E 24 St & Park Ave S","-73.986","40.741","5364"
"3256","Pier 40 - Hudson River Park","-74.0113","40.7277","5353"
"494","W 26 St & 8 Ave","-73.9972","40.7473","5287"
"458","11 Ave & W 27 St","-74.0052","40.7514","5276"
"161","LaGuardia Pl & W 3 St","-73.9981","40.7292","5250"
"405","Washington St & Gansevoort St","-74.0081","40.7393","5244"
"472","E 32 St & Park Ave","-73.9819","40.7457","5222"
"2008","Little West St & 1 Pl","-74.0168","40.7057","5172"
"450","W 49 St & 8 Ave","-73.9879","40.7623","5121"
"498","Broadway & W 32 St","-73.9881","40.7486","5101"
"347","Greenwich St & W Houston St","-74.0086","40.7288","5097"
"334","W 20 St & 7 Ave","-73.9973","40.7424","5088"
"488","W 39 St & 9 Ave","-73.9937","40.7565","5078"
"3137","5 Ave & E 73 St","-73.9669","40.7728","5077"
"507","E 25 St & 2 Ave","-73.9797","40.7391","5072"
"483","E 12 St & 3 Ave","-73.9889","40.7322","5058"
"3374","Central Park North & Adam Clayton Powell Blvd","-73.9556","40.7995","5037"
"468","Broadway & W 56 St","-73.9819","40.7653","5021"
"237","E 11 St & 2 Ave","-73.9867","40.7305","5001"
"503","E 20 St & Park Ave","-73.9875","40.7383","4974"
"401","Allen St & Rivington St","-73.99","40.7202","4936"
"380","W 4 St & 7 Ave S","-74.0029","40.734","4926"
"453","W 22 St & 8 Ave","-73.9992","40.7448","4916"
